Assets,Return,Volatility
0 14 25 27 ,7.7925,10.6428
0 14 25 28 ,7.345,10.4905
0 14 25 29 ,7.4875,10.6633
0 14 25 31 ,7.535,11.1424
0 14 25 32 ,7.55,10.9945
0 14 25 33 ,7.105,10.3058
0 14 25 34 ,7.2825,10.1758
0 14 25 51 ,7.7075,10.5357
0 14 25 52 ,7.6775,10.2939
0 14 27 31 ,7.5275,10.8362
0 14 27 32 ,7.5425,10.8671
0 14 28 30 ,7.9825,10.5164
0 14 28 31 ,7.08,10.0216
0 14 29 31 ,7.2225,10.1754
0 14 29 32 ,7.2375,10.035
0 14 30 33 ,7.7425,10.4015
0 14 30 34 ,7.92,10.1977
0 14 30 35 ,7.765,10.1753
0 14 31 32 ,7.285,11.2464
0 14 31 51 ,7.4425,10.38
0 14 31 52 ,7.4125,10.2193
0 14 32 51 ,7.4575,10.2059
0 14 32 52 ,7.4275,10.1503
0 14 51 52 ,7.585,10.1791
0 15 24 30 ,7.5075,10.2361
0 15 25 31 ,7.295,10.4369
0 15 25 32 ,7.31,10.2956
0 15 27 31 ,7.2875,10.1692
0 15 27 32 ,7.3025,10.219
0 15 28 30 ,7.7425,10.0168
0 15 29 30 ,7.885,10.0537
0 15 30 31 ,7.9325,11.2552
0 15 30 32 ,7.9475,11.3749
0 15 31 32 ,7.045,10.5724
0 16 22 30 ,7.5825,10.3653
0 16 23 25 ,7.1675,10.7304
0 16 23 30 ,7.805,10.6595
0 16 24 25 ,7.165,10.9752
0 16 24 30 ,7.8025,10.8999
0 16 24 51 ,7.0725,10.2082
0 16 24 52 ,7.0425,10.4139
0 16 25 26 ,7.495,10.0239
0 16 25 27 ,7.8475,11.0128
0 16 25 28 ,7.4,10.8827
0 16 25 29 ,7.5425,11.0482
0 16 25 31 ,7.59,11.5354
0 16 25 32 ,7.605,11.3791
0 16 25 33 ,7.16,10.6961
0 16 25 34 ,7.3375,10.554
0 16 25 35 ,7.1825,10.3283
0 16 25 38 ,7.19,10.2277
0 16 25 51 ,7.7625,10.9209
0 16 25 52 ,7.7325,10.644
0 16 27 28 ,7.3925,10.062
0 16 27 29 ,7.535,10.1229
0 16 27 31 ,7.5825,11.1906
0 16 27 32 ,7.5975,11.2068
0 16 27 51 ,7.755,10.2629
0 16 27 52 ,7.725,10.0839
0 16 28 31 ,7.135,10.4216
0 16 28 32 ,7.15,10.2475
0 16 29 31 ,7.2775,10.5683
0 16 29 32 ,7.2925,10.4185
0 16 30 33 ,7.7975,10.7017
0 16 30 34 ,7.975,10.4868
0 16 30 35 ,7.82,10.4561
0 16 30 36 ,7.535,10.1007
0 16 30 38 ,7.8275,10.2042
0 16 30 43 ,7.9725,10.1679
0 16 31 32 ,7.34,11.6138
0 16 31 34 ,7.0725,10.0685
0 16 31 51 ,7.4975,10.7613
0 16 31 52 ,7.4675,10.5622
0 16 32 51 ,7.5125,10.5789
0 16 32 52 ,7.4825,10.4809
0 16 51 52 ,7.64,10.4925
0 17 18 30 ,7.7025,10.3922
0 17 22 25 ,7.44,10.9734
0 17 22 27 ,7.4325,10.0735
0 17 22 31 ,7.175,10.5507
0 17 22 32 ,7.19,10.4041
0 17 22 51 ,7.3475,10.2799
0 17 22 52 ,7.3175,10.2824
0 17 23 25 ,7.6625,11.4038
0 17 23 27 ,7.655,10.5146
0 17 23 28 ,7.2075,10.2448
0 17 23 29 ,7.35,10.3955
0 17 23 31 ,7.3975,11.0295
0 17 23 32 ,7.4125,10.8582
0 17 23 34 ,7.145,10.391
0 17 23 51 ,7.57,10.7702
0 17 23 52 ,7.54,10.7608
